epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,191.375,0.59415,0.6642,0.99132,0.82251,0.49377,0.51934,0.25518,1.86367,2.27435,1.50973,1.43596e-05,1.43596e-05,1.43596e-05
89,193.178,0.65455,0.73798,1.11969,0.82251,0.49377,0.51934,0.25518,1.86367,2.27435,1.50973,1.34879e-05,1.34879e-05,1.34879e-05
90,195.134,0.53009,0.62992,1.01213,0.82251,0.49377,0.51934,0.25518,1.86367,2.27435,1.50973,1.25927e-05,1.25927e-05,1.25927e-05
91,197.016,0.5333,0.50471,0.92141,0.82251,0.49377,0.51934,0.25518,1.86367,2.27435,1.50973,1.16739e-05,1.16739e-05,1.16739e-05
92,198.917,0.64735,0.54522,1.09152,0.81914,0.49217,0.51325,0.27939,1.84133,2.26282,1.49861,1.07315e-05,1.07315e-05,1.07315e-05
93,200.818,0.79707,0.63177,1.34266,0.81914,0.49217,0.51325,0.27939,1.84133,2.26282,1.49861,9.76562e-06,9.76562e-06,9.76562e-06
94,202.585,0.47277,0.42302,0.90398,0.81914,0.49217,0.51325,0.27939,1.84133,2.26282,1.49861,8.77613e-06,8.77613e-06,8.77613e-06
95,204.663,0.61124,0.5431,0.94217,0.81914,0.49217,0.51325,0.27939,1.84133,2.26282,1.49861,7.76308e-06,7.76308e-06,7.76308e-06
96,206.847,0.48118,0.47096,0.9302,0.82092,0.4869,0.51095,0.2773,1.77905,2.15883,1.45634,6.72648e-06,6.72648e-06,6.72648e-06
97,209.379,0.58836,0.54085,0.99252,0.82092,0.4869,0.51095,0.2773,1.77905,2.15883,1.45634,5.6663e-06,5.6663e-06,5.6663e-06
98,211.793,0.46656,0.51742,0.91763,0.82092,0.4869,0.51095,0.2773,1.77905,2.15883,1.45634,4.58257e-06,4.58257e-06,4.58257e-06
99,213.859,0.53107,0.50509,0.9559,0.82092,0.4869,0.51095,0.2773,1.77905,2.15883,1.45634,3.47528e-06,3.47528e-06,3.47528e-06
100,216,0.52924,0.53898,1.0171,0.81216,0.47076,0.52018,0.28938,1.72382,2.07058,1.40955,2.34442e-06,2.34442e-06,2.34442e-06
