epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,97.2597,0.94346,3.26986,0.32881,1.37948,0.99976,0.01083,0.92857,0.45142,0.17853,0.00333,0.28571,0.14993,0.03436,1.63199,8.69467,0.69198,2.95865,1.71996,0.000502618,0.000502618,0.000502618
49,99.4095,0.76223,2.44213,0.29805,1.15371,0.88425,0.01083,0.92857,0.48801,0.1647,0.00333,0.28571,0.16707,0.06965,1.69883,8.78043,0.70847,2.98829,1.84605,0.000503808,0.000503808,0.000503808
50,101.559,0.81393,2.52396,0.3334,1.44456,1.1542,0.01083,0.92857,0.48801,0.1647,0.00333,0.28571,0.16707,0.06965,1.69883,8.78043,0.70847,2.98829,1.84605,0.000504602,0.000504602,0.000504602
51,103.768,1.08528,2.45535,0.30316,1.42496,1.154,0.02194,0.85714,0.47501,0.17058,0.00549,0.21429,0.21598,0.07638,1.6171,8.79999,0.69537,3.01262,1.76716,0.000505,0.000505,0.000505
52,105.849,0.78926,2.54976,0.28066,1.14312,1.04427,0.02194,0.85714,0.47501,0.17058,0.00549,0.21429,0.21598,0.07638,1.6171,8.79999,0.69537,3.01262,1.76716,0.000505002,0.000505002,0.000505002
53,108.257,0.71411,2.96062,0.34629,1.12154,0.95832,0.02194,0.85714,0.47501,0.17058,0.00549,0.21429,0.21598,0.07638,1.6171,8.79999,0.69537,3.01262,1.76716,0.000504608,0.000504608,0.000504608
54,110.633,0.70462,2.62739,0.31629,1.05898,0.93839,0.51895,0.42857,0.50298,0.23609,0.25947,0.21429,0.2601,0.07903,1.56516,8.78978,0.69089,2.96825,1.76985,0.000503818,0.000503818,0.000503818
55,112.853,1.08726,2.81063,0.28507,1.45215,1.29216,0.51895,0.42857,0.50298,0.23609,0.25947,0.21429,0.2601,0.07903,1.56516,8.78978,0.69089,2.96825,1.76985,0.000502632,0.000502632,0.000502632
56,115.113,1.07556,3.9829,0.36299,1.70808,1.33153,0.51895,0.42857,0.50298,0.23609,0.25947,0.21429,0.2601,0.07903,1.56516,8.78978,0.69089,2.96825,1.76985,0.00050105,0.00050105,0.00050105
57,117.321,1.02376,2.78089,0.39227,1.28176,1.03238,0.6236,0.28571,0.50873,0.21496,0.6236,0.28571,0.3137,0.08928,1.51201,8.50331,0.69861,2.97767,1.83674,0.000499072,0.000499072,0.000499072
58,119.371,0.83118,1.79855,0.25692,1.0885,1.00586,0.6236,0.28571,0.50873,0.21496,0.6236,0.28571,0.3137,0.08928,1.51201,8.50331,0.69861,2.97767,1.83674,0.000496698,0.000496698,0.000496698
59,121.517,0.912,4.05983,0.33421,1.46598,1.16925,0.6236,0.28571,0.50873,0.21496,0.6236,0.28571,0.3137,0.08928,1.51201,8.50331,0.69861,2.97767,1.83674,0.000493928,0.000493928,0.000493928
60,123.844,0.93679,2.56862,0.33785,1.46696,1.02536,0.01933,0.72661,0.44547,0.17289,0.0095,0.35714,0.28774,0.07931,1.55758,8.38803,0.73903,3.02359,1.82912,0.000490762,0.000490762,0.000490762
61,125.854,1.03485,2.91239,0.42062,1.24815,1.12084,0.01933,0.72661,0.44547,0.17289,0.0095,0.35714,0.28774,0.07931,1.55758,8.38803,0.73903,3.02359,1.82912,0.0004872,0.0004872,0.0004872
62,128.048,0.96265,4.74805,0.33148,1.48413,1.0994,0.01933,0.72661,0.44547,0.17289,0.0095,0.35714,0.28774,0.07931,1.55758,8.38803,0.73903,3.02359,1.82912,0.000483242,0.000483242,0.000483242
63,130.145,0.89427,2.55044,0.288,1.09883,1.05338,0.01083,0.92857,0.40447,0.15999,0.005,0.42857,0.2468,0.08433,1.56333,8.35266,0.76852,3.02219,1.78995,0.000478888,0.000478888,0.000478888
64,132.235,0.77279,2.12971,0.33249,1.2966,0.92731,0.01083,0.92857,0.40447,0.15999,0.005,0.42857,0.2468,0.08433,1.56333,8.35266,0.76852,3.02219,1.78995,0.000474138,0.000474138,0.000474138
65,134.373,0.84354,2.25861,0.38724,1.32888,1.09183,0.01083,0.92857,0.40447,0.15999,0.005,0.42857,0.2468,0.08433,1.56333,8.35266,0.76852,3.02219,1.78995,0.000468992,0.000468992,0.000468992
66,136.497,0.75851,2.9952,0.43303,1.29958,0.97303,0.01083,0.92857,0.47006,0.22629,0.00417,0.35714,0.1967,0.07521,1.53103,8.13228,0.75376,3.03175,1.82055,0.00046345,0.00046345,0.00046345
67,138.601,0.83115,3.47297,0.28676,1.4242,1.1322,0.01083,0.92857,0.47006,0.22629,0.00417,0.35714,0.1967,0.07521,1.53103,8.13228,0.75376,3.03175,1.82055,0.000457512,0.000457512,0.000457512
68,141.018,0.73901,2.46871,0.33487,1.05777,0.99877,0.01083,0.92857,0.47006,0.22629,0.00417,0.35714,0.1967,0.07521,1.53103,8.13228,0.75376,3.03175,1.82055,0.000451178,0.000451178,0.000451178
69,143.203,0.93205,2.58262,0.34943,1.21823,1.06435,0.01083,0.92857,0.38898,0.20377,0.0025,0.21429,0.15998,0.06454,1.50186,8.11189,0.74049,2.99633,1.77176,0.000444448,0.000444448,0.000444448
70,145.264,0.95219,2.85812,0.27218,1.26598,1.09178,0.01083,0.92857,0.38898,0.20377,0.0025,0.21429,0.15998,0.06454,1.50186,8.11189,0.74049,2.99633,1.77176,0.000437322,0.000437322,0.000437322
71,147.272,0.84795,2.87192,0.34003,1.54002,1.14278,0.01083,0.92857,0.38898,0.20377,0.0025,0.21429,0.15998,0.06454,1.50186,8.11189,0.74049,2.99633,1.77176,0.0004298,0.0004298,0.0004298
72,149.403,0.99278,3.63716,0.35621,1.30347,1.03048,0.01,0.85714,0.38402,0.18967,0.00417,0.35714,0.1967,0.05078,1.54702,8.25002,0.73735,2.99415,1.83693,0.000421882,0.000421882,0.000421882
73,151.549,0.68604,1.79288,0.2504,1.10887,0.94034,0.01,0.85714,0.38402,0.18967,0.00417,0.35714,0.1967,0.05078,1.54702,8.25002,0.73735,2.99415,1.83693,0.000413568,0.000413568,0.000413568
